user_id,age,income,credit_score,label
U001,58,44592,325,0
U002,33,59256,442,0
U003,61,127080,389,1
U004,20,33905,395,0
U005,50,108907,327,1
U006,63,115181,729,1
U007,55,66463,306,0
U008,28,121506,732,1
U009,27,58221,644,1
U010,42,42676,667,0
U011,56,64671,344,0
U012,52,46361,687,1
U013,36,138711,670,1
U014,63,39116,346,0
U015,36,40458,538,0
U016,42,66434,764,1
U017,41,51319,679,1
U018,60,64993,373,0
U019,28,100010,550,1
U020,42,65382,524,0
U021,21,60021,332,0
U022,43,65093,367,1
U023,54,144867,622,1
U024,49,81856,769,1
U025,26,62325,569,0
U026,45,147679,708,1
U027,26,96784,805,1
U028,21,142866,412,1
U029,28,133819,732,1
U030,42,80019,779,1
U031,53,142824,311,0
U032,25,119353,849,0
U033,59,74587,414,1
U034,28,89470,303,0
U035,64,64522,812,1
U036,50,149619,408,0
U037,37,140319,819,1
U038,27,79009,465,0
U039,51,30074,631,1
U040,25,77576,614,1
U041,33,145082,380,1
U042,49,136957,370,0
U043,52,130379,428,1
U044,48,102063,469,1
U045,56,85461,516,0
U046,64,120422,505,0
U047,43,118039,682,1
U048,51,89177,423,1
U049,22,74313,321,0
U050,32,107128,525,1
